eventid|venueid|catid|dateid|eventname|starttime
423|303|8|1827|La Damnation de Faust|2008-01-01 19:30:00.000000
1334|208|6|1827|The King and I|2008-01-01 14:30:00.000000
1376|235|6|1827|The King and I|2008-01-01 14:30:00.000000
2099|211|7|1827|The Bacchae|2008-01-01 19:30:00.000000
4850|91|9|1827|Zappa Plays Zappa|2008-01-01 14:00:00.000000
5267|47|9|1827|Fab Faux|2008-01-01 19:00:00.000000
6440|71|9|1827|Beck|2008-01-01 19:00:00.000000
6640|38|9|1827|Herbie Hancock|2008-01-01 19:30:00.000000
7117|106|9|1827|Wallflowers|2008-01-01 14:00:00.000000
7197|95|9|1827|Gretchen Wilson|2008-01-01 19:00:00.000000
7654|38|9|1827|Keith Urban|2008-01-01 19:00:00.000000
7855|78|9|1827|Dierks Bentley|2008-01-01 19:00:00.000000
8621|9|9|1827|Hot Chip|2008-01-01 19:00:00.000000
1766|253|6|1828|Spamalot|2008-01-02 15:00:00.000000
2286|205|7|1828|The Cherry Orchard|2008-01-02 14:30:00.000000
2509|230|7|1828|Macbeth|2008-01-02 14:00:00.000000
2727|238|7|1828|Look Back in Anger|2008-01-02 19:00:00.000000
2772|249|7|1828|Young Frankenstein|2008-01-02 14:30:00.000000
3449|203|7|1828|For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf|2008-01-02 14:30:00.000000
3477|249|7|1828|The Caucasian Chalk Circle|2008-01-02 14:30:00.000000
3766|229|7|1828|The Homecoming|2008-01-02 15:00:00.000000
3853|45|9|1828|King Crimson|2008-01-02 19:30:00.000000
3979|127|9|1828|Alkaline Trio|2008-01-02 14:30:00.000000
4421|115|9|1828|My Morning Jacket|2008-01-02 14:30:00.000000
5006|19|9|1828|Chaka Khan|2008-01-02 19:00:00.000000
5560|78|9|1828|George Thorogood and the Destroyers|2008-01-02 19:00:00.000000
6780|29|9|1828|Joan Baez|2008-01-02 14:00:00.000000
6842|25|9|1828|Alkaline Trio|2008-01-02 19:30:00.000000
6873|1|9|1828|Donna Summer|2008-01-02 19:30:00.000000
7503|98|9|1828|Counting Crows and Maroon 5|2008-01-02 19:00:00.000000
8678|9|9|1828|Paramore|2008-01-02 19:00:00.000000
744|201|6|1829|Jersey Boys|2008-01-03 20:00:00.000000
1191|247|6|1829|Spamalot|2008-01-03 20:00:00.000000
2841|204|7|1829|The Caucasian Chalk Circle|2008-01-03 19:30:00.000000
4053|13|9|1829|Sunday in the Country|2008-01-03 20:00:00.000000
4373|12|9|1829|Boz Scaggs|2008-01-03 15:00:00.000000
5417|126|9|1829|Charlie Daniels Band|2008-01-03 19:00:00.000000
5763|129|9|1829|Missy Higgins|2008-01-03 14:00:00.000000
6475|110|9|1829|DJ Shadow and Cut Chemist|2008-01-03 15:00:00.000000
7381|23|9|1829|LeAnn Rimes|2008-01-03 15:00:00.000000
8663|90|9|1829|Killing Joke|2008-01-03 19:00:00.000000
50|305|8|1830|Simon Boccanegra|2008-01-04 20:00:00.000000
117|308|8|1830|Il Trovatore|2008-01-04 19:00:00.000000
1879|220|7|1830|November|2008-01-04 20:00:00.000000
1902|206|7|1830|The Country Girl|2008-01-04 14:30:00.000000
3035|230|7|1830|The Caretaker|2008-01-04 14:00:00.000000
3351|228|7|1830|The Frogs|2008-01-04 14:00:00.000000
3696|226|7|1830|Iphigenia|2008-01-04 15:00:00.000000
4394|6|9|1830|Led Zeppelin|2008-01-04 14:30:00.000000
4609|5|9|1830|Los Temerarios|2008-01-04 15:00:00.000000
4855|24|9|1830|UB40|2008-01-04 15:00:00.000000
5002|122|9|1830|English Beat|2008-01-04 19:30:00.000000
5494|115|9|1830|John Hiatt|2008-01-04 14:00:00.000000
6270|98|9|1830|Rodrigo y Gabriela|2008-01-04 14:00:00.000000
6491|107|9|1830|Counting Crows|2008-01-04 14:00:00.000000
7028|84|9|1830|Counting Crows and Maroon 5|2008-01-04 14:00:00.000000
8526|43|9|1830|Bob Dylan|2008-01-04 19:30:00.000000
1315|244|6|1831|Grease|2008-01-05 19:30:00.000000
1736|253|6|1831|Spamalot|2008-01-05 19:00:00.000000
1756|257|6|1831|Phantom of the Opera|2008-01-05 19:30:00.000000
2623|247|7|1831|A Man For All Seasons|2008-01-05 19:30:00.000000
2903|235|7|1831|Hamlet|2008-01-05 20:00:00.000000
3792|228|7|1831|To Be or Not To Be|2008-01-05 20:00:00.000000
4091|29|9|1831|Tom Jones|2008-01-05 14:00:00.000000
4597|42|9|1831|Sound Tribe Sector 9|2008-01-05 19:00:00.000000
5028|63|9|1831|Madonna|2008-01-05 19:00:00.000000
5856|119|9|1831|Lollapalooza|2008-01-05 14:00:00.000000
7259|98|9|1831|Blues Brothers|2008-01-05 15:00:00.000000
7465|106|9|1831|Rick Braun|2008-01-05 19:00:00.000000
7892|49|9|1831|Bonnie Raitt|2008-01-05 14:00:00.000000
7979|9|9|1831|David Sanborn|2008-01-05 14:00:00.000000
8538|26|9|1831|Hall and Oates|2008-01-05 19:30:00.000000
8|302|8|1832|The Magic Flute|2008-01-06 20:00:00.000000
92|302|8|1832|Die Walkure|2008-01-06 15:00:00.000000
204|303|8|1832|Adriana Lecouvreur|2008-01-06 14:30:00.000000
797|233|6|1832|Grease|2008-01-06 19:00:00.000000
1634|251|6|1832|Blue Man Group|2008-01-06 19:00:00.000000
1812|248|7|1832|A Tale of Two Cities|2008-01-06 20:00:00.000000
3850|23|9|1832|Sara Evans|2008-01-06 20:00:00.000000
4915|69|9|1832|Duran Duran|2008-01-06 19:30:00.000000
